Major,STEM
Accounting,0
Accounting Technology and Bookkeeping,0
Accounting and Business/Management,0
Accounting and Computer Science,0
Accounting and Finance,0
Accounting and Related Services,0
Acoustics,1
Acting,0
Actuarial Science,1
Acupuncture and Oriental Medicine,0
Addiction Prevention and Treatment,0
Administration of Special Education,0
Administrative Assistant and Secretarial Science,0
Adult Development and Aging,0
Adult Health Nurse/Nursing,0
Adult High School/Secondary Diploma Program,0
Adult Literacy Tutor/Instructor,0
Adult Reconstructive Orthopedics (Orthopedic Surgery),0
Adult and Continuing Education Administration,0
Adult and Continuing Education and Teaching,0
Advanced General Dentistry,0
Advanced Legal Research/Studies,0
Advanced Military and Operational Studies,0
Advanced/Graduate Dentistry and Oral Sciences,0
Advertising,0
Aeronautical/Aerospace Engineering Technology,1
Aeronautics/Aviation/Aerospace Science and Technology,1
Aerospace Ground Equipment Technology,1
Aerospace Medicine,0
Aerospace Physiology and Medicine,1
"Aerospace, Aeronautical and Astronautical Engineering",0
"Aerospace, Aeronautical and Astronautical/Space Engineering",1
Aesthetician/Esthetician and Skin Care Specialist,0
"African Languages, Literatures, and Linguistics",0
African Studies,0
African-American/Black Studies,0
Agribusiness/Agricultural Business Operations,0
Agricultural Animal Breeding,1
Agricultural Business Technology,0
Agricultural Business and Management,0
Agricultural Communication/Journalism,0
Agricultural Economics,0
Agricultural Engineering,1
Agricultural Mechanics and Equipment/Machine Technology,0
Agricultural Mechanization,0
Agricultural Power Machinery Operation,0
Agricultural Production Operations,0
Agricultural Public Services,0
Agricultural Teacher Education,0
Agricultural and Domestic Animal Services,0
Agricultural and Extension Education Services,0
Agricultural and Food Products Processing,0
Agricultural and Horticultural Plant Breeding,1
Agricultural/Farm Supplies Retailing and Wholesaling,0
Agriculture,0
"Agriculture, Agriculture Operations, And Related Sciences",0
"Agriculture, Agriculture Operations, and Related Sciences",0
Agroecology and Sustainable Agriculture,1
Agronomy and Crop Science,1
Air Force JROTC/ROTC,0
"Air Force ROTC, Air Science and Operations",0
Air Science/Airpower Studies,1
Air Traffic Controller,0
Air Transportation,0
Air and Space Operational Art and Science,1
Air and Space Operations Technology,1
Aircraft Armament Systems Technology,1
Aircraft Pilot (Private),0
Aircraft Powerplant Technology,0
Airframe Mechanics and Aircraft Maintenance Technology,0
Airline Flight Attendant,0
Airline/Commercial/Professional Pilot and Flight Crew,0
Albanian Language and Literature,0
Algebra and Number Theory,1
Allergies and Immunology,0
"Allied Health Diagnostic, Intervention, and Treatment Professions",0
Allied Health and Medical Assisting Services,0
Alternative Fuel Vehicle Technology,0
Alternative and Complementary Medical Support Services,0
Alternative and Complementary Medicine and Medical Systems,0
American Citizenship Education,0
American Government and Politics (United States),0
American History (United States),0
"American Indian/Native American Languages, Literatures, and Linguistics",0
American Indian/Native American Studies,0
American Literature (Canadian),0
American Literature (United States and Canadian),0
American Literature (United States),0
American Sign Language,0
American Sign Language (ASL),0
American/US Law/Legal Studies/Jurisprudence,0
American/United States Studies/Civilization,0
Analysis and Functional Analysis,1
Analytical Chemistry,1
Anatomy,1
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",0
Ancient Studies/Civilization,0
Ancient/Classical Greek Language and Literature,0
Anesthesiologist Assistant,0
Anesthesiology,0
Animal Behavior and Ethology,1
Animal Genetics,1
Animal Health,1
Animal Nutrition,1
Animal Physiology,1
Animal Sciences,1
Animal Training,0
Animal-Assisted Therapy,0
Animal/Livestock Husbandry and Production,0
"Animation, Interactive Technology, Video Graphics and Special Effects",1
Anthropology,0
Apparel and Accessories Marketing Operations,0
Apparel and Textile Manufacture,0
Apparel and Textile Marketing Management,0
Apparel and Textiles,0
Appliance Installation and Repair Technology,0
Applied Behavior Analysis,0
Applied Economics,0
Applied Horticulture and Horticultural Business Services,0
Applied Horticulture/Horticultural Business Services,0
Applied Horticulture/Horticulture Operations,0
Applied Linguistics,0
Applied Mathematics,1
Applied Psychology,0
Applied and Professional Ethics,0
Aquaculture,0
Aquatic Biology/Limnology,1
Arabic Language and Literature,0
Archeology,1
Architectural Drafting and Architectural CAD/CADD,1
Architectural Engineering,1
Architectural Engineering Technologies,0
Architectural Engineering Technology,1
Architectural History and Criticism,0
Architectural Sciences and Technology,0
Architectural Technology,0
Architectural and Building Sciences/Technology,1
Architecture,0
Architecture And Related Services,0
Architecture and Related Services,0
Archives/Archival Administration,0
Area Studies,0
"Area, Ethnic, Cultural, Gender, And Group Studies",0
"Area, Ethnic, Cultural, and Gender Studies",0
Army JROTC/ROTC,0
"Army ROTC, Military Science and Operations",0
Aromatherapy,0
Art,0
"Art History, Criticism and Conservation",0
Art Teacher Education,0
Art Therapy/Therapist,0
Art/Art Studies,0
Artificial Intelligence,1
Arts Management,0
"Arts, Entertainment, and Media Management",0
"Arts, Entertainment,and Media Management",0
Asian Bodywork Therapy,0
Asian History,0
Asian Studies/Civilization,0
Asian-American Studies,0
Assistive/Augmentative Technology and Rehabilitation Engineering,0
Astronomy,1
Astronomy and Astrophysics,1
Astrophysics,1
Athletic Training/Trainer,0
Atmospheric Chemistry and Climatology,1
Atmospheric Physics and Dynamics,1
Atmospheric Sciences and Meteorology,1
Atomic/Molecular Physics,1
Auctioneering,0
Audiology/Audiologist,0
Audiology/Audiologist and Speech-Language Pathology/Pathologist,0
Audiovisual Communications Technologies,0
Auditing,0
"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics",0
Autobody/Collision and Repair Technology,0
Automation Engineer Technology,1
Automobile/Automotive Mechanics Technology,0
Automotive Engineering Technology,1
Aviation/Airway Management and Operations,0
Avionics Maintenance Technology,0
Ayurvedic Medicine/Ayurveda,0
Baking and Pastry Arts/Baker/Pastry Chef,0
Balkans Studies,0
Ballet,0
"Baltic Languages, Literatures, and Linguistics",0
Baltic Studies,0
Banking and Financial Support Services,0
"Banking, Corporate, Finance, and Securities Law",0
Barbering/Barber,0
Bartending/Bartender,0
Basic Computer Skills,0
Basic Skills And Developmental/Remedial Education,0
Basic Skills and Developmental/Remedial Education,0
Behavioral Aspects of Health,0
Behavioral Sciences,1
Bengali Language and Literature,0
Bible/Biblical Studies,0
Bicycle Mechanics and Repair Technology,0
Bilingual and Multilingual Education,0
"Bilingual, Multilingual, and Multicultural Education",0
Biochemical Engineering,1
Biochemistry,1
Biochemistry and Molecular Biology,1
"Biochemistry, Biophysics and Molecular Biology",1
Bioengineering and Biomedical Engineering,1
Bioethics/Medical Ethics,0
Bioinformatics,1
Biological And Biomedical Sciences,0
Biological and Biomedical Sciences,1
Biological and Physical Sciences,1
Biological/Biosystems Engineering,1
Biology,0
Biology Teacher Education,0
Biology Technician/Biotechnology Laboratory Technician,1
Biology/Biological Sciences,1
"Biomathematics, Bioinformatics, and Computational Biology",1
Biomedical Sciences,1
Biomedical Technology,1
Biomedical/Medical Engineering,0
Biometry/Biometrics,1
Biophysics,1
Biopsychology,1
Biostatistics,1
Biotechnology,1
Birthing and Parenting Knowledge and Skills,0
Blasting/Blaster,0
Blood Bank Technology Specialist,0
Blood Banking,0
"Board, Card and Role-Playing Games",0
Boilermaking/Boilermaker,0
"Bosnian, Serbian, and Croatian Languages and Literatures",0
Botany/Plant Biology,1
Brass Instruments,0
Broadcast Journalism,0
Buddhist Studies,0
Building Construction Technology,0
"Building/Construction Finishing, Management, and Inspection",0
Building/Construction Site Management/Manager,0
Building/Home/Construction Inspection/Inspector,0
Building/Property Maintenance,0
Bulgarian Language and Literature,0
Burmese Language and Literature,0
Business Administration and Management,0
"Business Administration, Management and Operations",0
Business Family and Consumer Sciences/Human Sciences,0
Business Machine Repair,0
Business Operations Support and Assistant Services,0
Business Operations Support and Secretarial Services,0
Business Statistics,1
Business Teacher Education,0
Business and Personal/Financial Services Marketing Operations,0
Business and Social Skills,0
"Business, Management, Marketing, And Related Support Services",0
"Business, Management, Marketing, and Related Support Services",0
Business/Commerce,0
Business/Corporate Communications,0
Business/Managerial Economics,0
Business/Office Automation/Technology/Data Entry,0
CAD/CADD Drafting and/or Design Technology,1
Cabinetmaking and Millwork,0
Canadian Citizenship Education,0
Canadian Government and Politics,0
Canadian History,0
Canadian Law/Legal Studies/Jurisprudence,0
Canadian Studies,0
Cardiology,0
Cardiopulmonary Technology/Technologist,0
Cardiovascular Science,1
Cardiovascular Technology/Technologist,0
Career Exploration/Awareness Skills,0
Caribbean Studies,0
Carpenters,0
Carpentry/Carpenter,0
"Carpet, Floor, and Tile Worker",0
Casino Management,0
Catalan Language and Literature,0
Cell Biology and Anatomy,1
Cell Physiology,1
Cell/Cellular Biology and Anatomical Sciences,1
Cell/Cellular Biology and Histology,1
Cell/Cellular and Molecular Biology,1
"Celtic Languages, Literatures, and Linguistics",0
Ceramic Arts and Ceramics,0
Ceramic Sciences and Engineering,1
Certificate of IEP Completion Program,0
Chemical Engineering,1
Chemical Engineering Technology,1
Chemical Pathology,0
Chemical Physics,1
Chemical Process Technology,1
Chemical Technology,1
Chemical and Biomolecular Engineering,1
Chemistry,1
Chemistry Teacher Education,0
Child Care Provider/Assistant,0
Child Care and Support Services Management,0
Child Development,0
Child Neurology,0
Child Psychiatry,0
Child/Pediatric Neurology,0
Children and Youth Library Services,0
Children's and Adolescent Literature,0
Chinese Language and Literature,0
Chinese Studies,0
Chiropractic,0
Chiropractic Assistant,0
Christian Studies,0
Cinematography and Film/Video Production,0
Citizenship Activities,0
"City/Urban, Community and Regional Planning",0
Civil Drafting and Civil Engineering CAD/CADD,1
Civil Engineering,1
Civil Engineering Technologies,0
Civil Engineering Technology,1
Classical and Ancient Studies,0
"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology",0
"Classics and Classical Languages, Literatures, and Linguistics",0
Clinical Child Psychology,0
Clinical Laboratory Science/Medical Technology/Technologist,1
Clinical Nurse Leader,0
Clinical Nurse Specialist,0
Clinical Nutrition/Nutritionist,0
Clinical Pastoral Counseling/Patient Counseling,0
Clinical Psychology,0
Clinical Research Coordinator,0
Clinical and Industrial Drug Development,1
"Clinical, Counseling and Applied Psychology",0
"Clinical, Hospital, and Managed Care Pharmacy",0
Clinical/Medical Laboratory Assistant,0
Clinical/Medical Laboratory Science and Allied Professions,0
Clinical/Medical Laboratory Science/Research and Allied Professions,0
Clinical/Medical Laboratory Technician,0
Clinical/Medical Social Work,0
Cognitive Psychology and Psycholinguistics,1
Cognitive Science,1
Collecting,0
College Student Counseling and Personnel Services,0
College/University Preparatory and Advanced High School/Secondary Diploma Program,0
Colon and Rectal Surgery,0
Combat Systems Engineering,1
"Command & Control (C3, C4I) Systems and Operations",1
Commercial Fishing,0
Commercial Photography,0
Commercial and Advertising Art,0
Commonwealth Studies,0
Communication,0
Communication Disorders Sciences and Services,0
Communication Sciences and Disorders,0
